cell_type	gene_name
pan-neuronal	Snap25
pan-neuronal	Ncam1
pan-neuronal	Map2
pan-neuronal	Rbfox3
Glutamatergic	Camk2a
Glutamatergic	Slc17a6
Glutamatergic	Slc17a7
Glutamatergic	Grin1
Glutamatergic	Grin2b
Glutamatergic	Gls
Glutamatergic	Glul
GABAergic	Slc6a1
GABAergic	Gabbr1
GABAergic	Gabbr2
GABAergic	Gad1
GABAergic	Gad2
GABAergic	Slc32a1
Dopaminergic	Th
Dopaminergic	Slc6a3
Dopaminergic	Nr4a2
Dopaminergic	Slc18a2
Dopaminergic	Snca
Dopaminergic	Foxa2
Dopaminergic	Lmx1b
Dopaminergic	Kcnj6
Serotonergic	Htr1a
Serotonergic	Htr2a
Serotonergic	Slc6a4
Serotonergic	Tph2
Serotonergic	Fev
Cholinergic	Chat
Cholinergic	Slc18a3
Cholinergic	Ache
Oligodendrocytes	Mog
Oligodendrocytes	Mbp
Oligodendrocytes	Fabp7
Oligodendrocytes	Mag
Oligodendrocytes	Pdgfra
Oligodendrocytes	Olig2
Oligodendrocytes	Nkx2.2
Oligodendrocytes	Opalin
Oligodendrocytes	Gpr17
Astrocytes	Gfap
Astrocytes	Agp4
Astrocytes	Fabp7
Astrocytes	Slc1a2
Astrocytes	S100b
Astrocytes	Slc1a3
Microglia	Ctss
Microglia	C1qb
Microglia	Cx3cr1
Microglia	Gpr34
Microglia	Itgam
